"pathway" "deceacelist"
"1074" "Osteosarcoma" "Nanoparticle-mediated activation of receptor signaling;Osteoblast Signaling;Toll-like receptor signaling pathway;Angiogenesis;Integrated Cancer pathway;Corticotropin-releasing hormone;Estrogen signaling pathway;DNA Damage Response (only ATM dependent);Focal Adhesion;TWEAK Signaling Pathway;FAS pathway and Stress induction of HSP regulation;Aryl Hydrocarbon Receptor;Structural Pathway of Interleukin 1 (IL-1);Signaling of Hepatocyte Growth Factor Receptor;IL-3 Signaling Pathway;Leptin signaling pathway;Interleukin-11 Signaling Pathway;DNA Damage Response;Osteopontin Signaling;TSLP Signaling Pathway;RANKL/RANK Signaling Pathway;G1 to S cell cycle control;Cell Cycle;Osteoclast Signaling;Oncostatin M Signaling Pathway;Spinal Cord Injury;Apoptosis Modulation by HSP70;Androgen receptor signaling pathway;ATM Signaling Pathway;Apoptosis Modulation and Signaling;Endochondral Ossification;TP53 Network;Apoptosis;Arylhydrocarbon receptor (AhR) signaling pathway;IL-1 signaling pathway;AGE/RAGE pathway;miRNA Regulation of DNA Damage Response;ErbB Signaling Pathway;EBV LMP1 signaling;TNF alpha Signaling Pathway;Integrated Pancreatic Cancer Pathway;Alpha 6 Beta 4 signaling pathway;Integrated Breast Cancer Pathway;MAPK Signaling Pathway;Senescence and Autophagy;Signaling Pathways in Glioblastoma"
"1075" "Hemochromatosis" "Iron metabolism in placenta"
"1076" "Uremia" "Osteoblast Signaling;Angiogenesis;Vitamin D Metabolism;TGF Beta Signaling Pathway;ACE Inhibitor Pathway;Osteoclast Signaling;Endochondral Ossification;Senescence and Autophagy;BMP Signalling and Regulation"
"1077" "Leukemia-Lymphoma, Adult T-Cell" ""
"1078" "Pulmonary Fibrosis" "Toll-like receptor signaling pathway;Allograft Rejection;Inflammatory Response Pathway;Spinal Cord Injury;Endochondral Ossification;Regulation of toll-like receptor signaling pathway;Senescence and Autophagy;Cytokines and Inflammatory Response;Folate Metabolism"
"1079" "Parkinson Disease" "Selenium Micronutrient Network;TWEAK Signaling Pathway;FAS pathway and Stress induction of HSP regulation;Alzheimers Disease;Oxidative Stress;Apoptosis Modulation by HSP70;Vitamin B12 Metabolism;Parkinsons Disease Pathway;Monoamine Transport;Fatty Acid Omega Oxidation;Amyotrophic lateral sclerosis (ALS);Serotonin Transporter Activity;Dopamine metabolism;Biogenic Amine Synthesis;Folate Metabolism"
"1080" "Mitochondrial Encephalomyopathies" ""
"1081" "Lens Diseases" ""
"1082" "Bulbar Palsy, Progressive" ""
"1083" "Purpura, Schoenlein-Henoch" "Complement and Coagulation Cascades;Complement Activation, Classical Pathway;Allograft Rejection;SIDS Susceptibility Pathways;Endochondral Ossification"
"1084" "Epilepsy, Generalized" ""
"1085" "Down Syndrome" "SIDS Susceptibility Pathways;Vitamin B12 Metabolism;Folate Metabolism"
"1086" "Hypercalcemia" "Osteoblast Signaling;Vitamin D Metabolism;RANKL/RANK Signaling Pathway;Osteoclast Signaling;Endochondral Ossification"
"1087" "Migraine Disorders" "Endothelin Pathways"
"1088" "Migraine without Aura" "Allograft Rejection;FAS pathway and Stress induction of HSP regulation;SIDS Susceptibility Pathways;Monoamine Transport;Type II diabetes mellitus;Cytokines and Inflammatory Response"
"1089" "Melanoma, Experimental" ""
"1090" "Keratosis" "Integrated Cancer pathway;DNA Damage Response (only ATM dependent);Quercetin and Nf-kB/ AP-1 induced cell apoptosis;Oxidative Stress;Spinal Cord Injury;TP53 Network;Amyotrophic lateral sclerosis (ALS);Transcriptional activation by NRF2"
"1091" "Muscular Dystrophies, Limb-Girdle" "Deregulation of Rab and Rab Effector Genes in Bladder Cancer;Arrhythmogenic Right Ventricular Cardiomyopathy"
"1092" "Hyperhomocysteinemia" "Complement and Coagulation Cascades;Trans-sulfuration pathway;Selenium Micronutrient Network;Blood Clotting Cascade;Trans-sulfuration and one carbon metabolism;ACE Inhibitor Pathway;One carbon donor;One Carbon Metabolism;Oncostatin M Signaling Pathway;Vitamin B12 Metabolism;Hypertrophy Model;Folate-Alcohol and Cancer Pathway;Folate Metabolism"
"1093" "Leishmaniasis, Cutaneous" "Type II interferon signaling (IFNG);Matrix Metalloproteinases;Toll-like receptor signaling pathway;Selenium Micronutrient Network;Allograft Rejection;TWEAK Signaling Pathway;FAS pathway and Stress induction of HSP regulation;Alzheimers Disease;Inflammatory Response Pathway;SIDS Susceptibility Pathways;TGF Beta Signaling Pathway;Spinal Cord Injury;Apoptosis Modulation by HSP70;Vitamin B12 Metabolism;Monoamine Transport;Apoptosis;Regulation of toll-like receptor signaling pathway;IL-1 signaling pathway;AGE/RAGE pathway;EBV LMP1 signaling;Integrated Pancreatic Cancer Pathway;MAPK Signaling Pathway;Senescence and Autophagy;Cytokines and Inflammatory Response;Folate Metabolism"
"1094" "Pleural Diseases" ""
"1095" "Eosinophilic Esophagitis" ""
"1096" "Cecal Neoplasms" "Wnt Signaling Pathway Netpath;DNA Damage Response (only ATM dependent);miR-targeted genes in muscle cell - TarBase;DNA Damage Response;Gastric cancer network 2;G1 to S cell cycle control;Wnt Signaling Pathway;Oncostatin M Signaling Pathway;Spinal Cord Injury;Androgen receptor signaling pathway;miRNA Regulation of DNA Damage Response;ErbB Signaling Pathway;Wnt Signaling Pathway and Pluripotency;Integrated Pancreatic Cancer Pathway;Integrated Breast Cancer Pathway;Signaling Pathways in Glioblastoma;miRNAs involved in DNA damage response"
"1097" "Papilloma" "IL-7 Signaling Pathway;DNA Damage Response (only ATM dependent);Aryl Hydrocarbon Receptor;DNA Damage Response;Gastric cancer network 2;Notch Signaling Pathway;G1 to S cell cycle control;Spinal Cord Injury;ATM Signaling Pathway;TP53 Network;miRNA Regulation of DNA Damage Response;ErbB Signaling Pathway;Wnt Signaling Pathway and Pluripotency;Integrated Pancreatic Cancer Pathway;TSH signaling pathway;Senescence and Autophagy;p38 MAPK Signaling Pathway;Signaling Pathways in Glioblastoma;IL-2 Signaling Pathway;miRNAs involved in DNA damage response"
"1098" "West Nile Fever" "GPCRs, Other;TCR Signaling Pathway;Peptide GPCRs"
"1099" "Common Variable Immunodeficiency" ""
"1100" "Dengue" ""
"1101" "Malaria" "Type II interferon signaling (IFNG);Selenium Micronutrient Network;Allograft Rejection;Spinal Cord Injury;Vitamin B12 Metabolism;Regulation of toll-like receptor signaling pathway;Cytokines and Inflammatory Response;Folate Metabolism"
"1102" "BILIARY CIRRHOSIS, PRIMARY, 1" "Toll-like receptor signaling pathway;Allograft Rejection;Drug Induction of Bile Acid Pathway;Regulation of toll-like receptor signaling pathway;Cytokines and Inflammatory Response"
"1103" "Parathyroid Neoplasms" ""
"1104" "Barrett Esophagus" "TP53 Network"
"1105" "Brain Neoplasms" "Angiogenesis;Integrated Cancer pathway;DNA Damage Response (only ATM dependent);Aryl Hydrocarbon Receptor;Oncostatin M Signaling Pathway;AGE/RAGE pathway;Integrated Pancreatic Cancer Pathway;Alpha 6 Beta 4 signaling pathway;Integrated Breast Cancer Pathway;Signaling Pathways in Glioblastoma"
"1106" "Exocrine Pancreatic Insufficiency" ""
"1107" "Myasthenia Gravis" "Toll-like receptor signaling pathway;Allograft Rejection;Spinal Cord Injury;Regulation of toll-like receptor signaling pathway;Cytokines and Inflammatory Response"
"1108" "Pancreatitis" "Selenium Micronutrient Network;Allograft Rejection;Aryl Hydrocarbon Receptor;Spinal Cord Injury;Vitamin B12 Metabolism;Fatty Acid Omega Oxidation;Cytokines and Inflammatory Response;Folate Metabolism"
"1109" "Duane Retraction Syndrome" ""
"1110" "Myotonia Congenita" ""
"1111" "Ovarian epithelial cancer" ""
"1112" "MELANOMA, CUTANEOUS MALIGNANT" ""
"1113" "Oral Submucous Fibrosis" "Matrix Metalloproteinases;Angiogenesis;Allograft Rejection;Inflammatory Response Pathway;TGF Beta Signaling Pathway;Oncostatin M Signaling Pathway;Spinal Cord Injury;Endochondral Ossification;Integrated Pancreatic Cancer Pathway;Cytokines and Inflammatory Response"
"1114" "Myopia" ""
"1115" "Fatty Liver" "Nuclear Receptors in Lipid Metabolism and Toxicity;Selenium Micronutrient Network;AMPK Signaling;Adipogenesis;Vitamin B12 Metabolism;SREBF and miR33 in cholesterol and lipid homeostasis;Cytokines and Inflammatory Response;Folate Metabolism"
"1116" "Fatty Liver, Alcoholic" "Nuclear Receptors in Lipid Metabolism and Toxicity;Selenium Micronutrient Network;AMPK Signaling;Adipogenesis;Vitamin B12 Metabolism;SREBF and miR33 in cholesterol and lipid homeostasis;Cytokines and Inflammatory Response;Folate Metabolism"
"1117" "Adrenal Gland Neoplasms" "TCA Cycle;Electron Transport Chain;ACE Inhibitor Pathway;Peptide GPCRs"
"1118" "Agranulocytosis" "Parkin-Ubiquitin Proteasomal System pathway;Methylation Pathways;Cytokines and Inflammatory Response"
"1119" "Pneumonia" "Toll-like receptor signaling pathway;Angiogenesis;Selenium Micronutrient Network;Adipogenesis;Blood Clotting Cascade;Allograft Rejection;TWEAK Signaling Pathway;Quercetin and Nf-kB/ AP-1 induced cell apoptosis;Aryl Hydrocarbon Receptor;SIDS Susceptibility Pathways;TGF Beta Signaling Pathway;IL-4 Signaling Pathway;Osteopontin Signaling;TSLP Signaling Pathway;Oxidative Stress;RANKL/RANK Signaling Pathway;Oncostatin M Signaling Pathway;Spinal Cord Injury;Vitamin B12 Metabolism;Endochondral Ossification;Regulation of toll-like receptor signaling pathway;AGE/RAGE pathway;EBV LMP1 signaling;Senescence and Autophagy;Cytokines and Inflammatory Response;Folate Metabolism"
"1120" "Hemangiosarcoma" "Nanoparticle-mediated activation of receptor signaling;Integrated Cancer pathway;DNA Damage Response (only ATM dependent);Aryl Hydrocarbon Receptor;Signaling of Hepatocyte Growth Factor Receptor;TGF Beta Signaling Pathway;Gastric cancer network 2;Oncostatin M Signaling Pathway;EGF/EGFR Signaling Pathway;ErbB Signaling Pathway;Integrated Pancreatic Cancer Pathway;Integrated Breast Cancer Pathway;Senescence and Autophagy;MAPK Cascade;Signaling Pathways in Glioblastoma"
"1121" "Leiomyosarcoma" "Integrated Cancer pathway;TP53 Network"
"1122" "Pancytopenia" "Folate Metabolism"
"1123" "Stomatitis" "Type II interferon signaling (IFNG);Toll-like receptor signaling pathway;Allograft Rejection;TCR Signaling Pathway;SIDS Susceptibility Pathways;Spinal Cord Injury;Hypertrophy Model;Regulation of toll-like receptor signaling pathway;IL-1 signaling pathway;Serotonin Transporter Activity;MAPK Signaling Pathway;Senescence and Autophagy;Cytokines and Inflammatory Response"
"1124" "Graves Disease" "Type II interferon signaling (IFNG);Allograft Rejection;Vitamin D Metabolism;FAS pathway and Stress induction of HSP regulation;Inflammatory Response Pathway;Apoptosis Modulation by HSP70;Apoptosis Modulation and Signaling;Apoptosis;Thyroxine (Thyroid Hormone) Production;Cytokines and Inflammatory Response"
"1125" "Methemoglobinemia" "Estrogen metabolism;Nuclear Receptors in Lipid Metabolism and Toxicity;Selenium Micronutrient Network;Tamoxifen metabolism;Aflatoxin B1 metabolism;Arylamine metabolism;Vitamin B12 Metabolism;Fatty Acid Omega Oxidation;Arylhydrocarbon receptor (AhR) signaling pathway;Oxidation by Cytochrome P450;Folate Metabolism;Effects of Nitric Oxide"
"1126" "GLUCOCORTICOID-REMEDIABLE ALDOSTERONISM" "Metapathway biotransformation;Glucocorticoid & Mineralcorticoid Metabolism;ACE Inhibitor Pathway;Oxidation by Cytochrome P450"
"1127" "Opisthorchiasis" "Nicotine Metabolism;Fluoropyrimidine Activity;Quercetin and Nf-kB/ AP-1 induced cell apoptosis;Fatty Acid Omega Oxidation"
"1128" "Spastic Paraplegia, Hereditary" ""
"1129" "Thyroid Diseases" "Allograft Rejection;Thyroxine (Thyroid Hormone) Production"
"1130" "Dyskeratosis Congenita" ""
"1131" "Leukemia, Monocytic, Acute" "Senescence and Autophagy"
"1132" "Leukoencephalopathies" "Fluoropyrimidine Activity;Trans-sulfuration pathway;Selenium Micronutrient Network;Trans-sulfuration and one carbon metabolism;Osteopontin Signaling;One carbon donor;One Carbon Metabolism;Osteoclast Signaling;Peroxisomal beta-oxidation of tetracosanoyl-CoA;Vitamin B12 Metabolism;Glycine Metabolism;Folate-Alcohol and Cancer Pathway;Mitochondrial LC-Fatty Acid Beta-Oxidation;Folate Metabolism"
"1133" "Blepharospasm" "Monoamine GPCRs"
"1134" "Dentinogenesis Imperfecta" ""
"1135" "Dandy-Walker Syndrome" ""
"1136" "Cerebrovascular Disorders" "Complement and Coagulation Cascades;Selenium Micronutrient Network;Blood Clotting Cascade;Vitamin B12 Metabolism;Folate Metabolism"
"1137" "Hepatorenal Syndrome" "MicroRNAs in cardiomyocyte hypertrophy;Prostaglandin Synthesis and Regulation;Physiological and Pathological Hypertrophy  of the Heart;Endothelin Pathways"
"1138" "Peptic Ulcer" "Allograft Rejection"
"1139" "Cholestasis, Intrahepatic" "Nuclear Receptors in Lipid Metabolism and Toxicity;Allograft Rejection;Drug Induction of Bile Acid Pathway;Nuclear Receptors;Ovarian Infertility Genes"
"1140" "Muscular Dystrophy, Emery-Dreifuss" ""
"1141" "Amelogenesis Imperfecta" ""
"1142" "Heart Septal Defects, Ventricular" "Heart Development"
"1143" "Polyneuropathies" ""
"1144" "Cockayne Syndrome" "RB in Cancer"
"1145" "Leiomyoma" "Estrogen metabolism;Angiogenesis;Adipogenesis;DNA Damage Response (only ATM dependent);Focal Adhesion;Aryl Hydrocarbon Receptor;Inflammatory Response Pathway;SIDS Susceptibility Pathways;Leptin signaling pathway;Oncostatin M Signaling Pathway;Spinal Cord Injury;Endochondral Ossification;TP53 Network;Apoptosis;Arylhydrocarbon receptor (AhR) signaling pathway;ErbB Signaling Pathway;Nuclear Receptors;Integrated Pancreatic Cancer Pathway;Ovarian Infertility Genes;Integrated Breast Cancer Pathway;Senescence and Autophagy;Signaling Pathways in Glioblastoma;Cytokines and Inflammatory Response"
"1146" "Myelodysplastic-Myeloproliferative Diseases" ""
"1147" "Factor X Deficiency" "Complement and Coagulation Cascades;Blood Clotting Cascade"
"1148" "Hemophilia A" "Complement and Coagulation Cascades;Blood Clotting Cascade"
"1149" "Encephalitis" "Type II interferon signaling (IFNG);Toll-like receptor signaling pathway;Spinal Cord Injury;Vitamin B12 Metabolism;Regulation of toll-like receptor signaling pathway;Senescence and Autophagy"
"1150" "Mucocutaneous Lymph Node Syndrome" "Matrix Metalloproteinases;Angiogenesis;Allograft Rejection;ACE Inhibitor Pathway;Spinal Cord Injury;Cytokines and Inflammatory Response"
"1151" "Wegener Granulomatosis" ""
"1152" "Urogenital Abnormalities" ""
"1153" "Ankylosis" ""
"1154" "Thanatophoric Dysplasia" "Regulation of Actin Cytoskeleton;Endochondral Ossification;Neural Crest Differentiation"
"1155" "Hamartoma" "Hedgehog Signaling Pathway"
"1156" "Gonadal Dysgenesis" ""
"1157" "Apraxias" ""
"1158" "Iron Overload" "Iron metabolism in placenta"
"1159" "Caliciviridae Infections" "Globo Sphingolipid Metabolism"
"1160" "Syndactyly" ""
"1161" "Anemia, Hemolytic, Congenital Nonspherocytic" "Glutathione metabolism;Sulfation Biotransformation Reaction;Pentose Phosphate Pathway;Cori Cycle"
"1162" "Hepatic Encephalopathy" ""
"1163" "Lymphedema" "Focal Adhesion"
"1164" "Constipation" "Quercetin and Nf-kB/ AP-1 induced cell apoptosis;Monoamine Transport;Serotonin Transporter Activity;Effects of Nitric Oxide"
"1165" "Hyperinsulinism" "Selenium Micronutrient Network;AMPK Signaling;Adipogenesis;Vitamin B12 Metabolism;AGE/RAGE pathway;Fatty Acid Beta Oxidation;Type II diabetes mellitus;Folate Metabolism"
"1166" "Ependymoma" ""
"1167" "Gastroesophageal Reflux" "EPO Receptor Signaling;Kit receptor signaling pathway;Nanoparticle-mediated activation of receptor signaling;Serotonin Receptor 2 and ELK-SRF/GATA4 signaling;Toll-like receptor signaling pathway;IL-7 Signaling Pathway;Aryl Hydrocarbon Receptor;Structural Pathway of Interleukin 1 (IL-1);SIDS Susceptibility Pathways;Signaling of Hepatocyte Growth Factor Receptor;IL-3 Signaling Pathway;IL-9 Signaling Pathway;Leptin signaling pathway;TSLP Signaling Pathway;Diclofenac Metabolic Pathway;Hypothetical Network for Drug Addiction;IL-5 Signaling Pathway;Regulation of toll-like receptor signaling pathway;IL-1 signaling pathway;IL-6 signaling pathway;MAPK Cascade;Serotonin Receptor 4/6/7 and NR3C Signaling;IL-2 Signaling Pathway"
"1168" "Turner Syndrome" "Endochondral Ossification"
"1169" "Cellulitis" ""
"1170" "Keratitis" ""
"1171" "Angiokeratoma" ""
"1172" "Dystonic Disorders" ""
"1173" "Pseudohypoaldosteronism" ""
"1174" "OGUCHI DISEASE 1" ""
"1175" "Raynaud Disease" "Estrogen metabolism;Metapathway biotransformation;Aflatoxin B1 metabolism;Glutathione metabolism"
"1176" "Asbestosis" "Metapathway biotransformation;Aflatoxin B1 metabolism;Benzo(a)pyrene metabolism;Arachidonate Epoxygenase / Epoxide Hydrolase;Effects of Nitric Oxide"
"1177" "Biliary Atresia" ""
"1178" "alpha-Thalassemia" "Selenium Micronutrient Network;Vitamin B12 Metabolism;Folate Metabolism;Effects of Nitric Oxide"
"1179" "Hemoglobinopathies" ""
"1180" "Dermatitis" "Matrix Metalloproteinases;Osteopontin Signaling;AGE/RAGE pathway"
"1181" "VATER ASSOCIATION" ""
"1182" "Genital Neoplasms, Female" ""
"1183" "Carcinoma, Medullary" "Eicosanoid Synthesis;Prostaglandin Synthesis and Regulation"
"1184" "Penile Neoplasms" "Nanoparticle-mediated activation of receptor signaling;AMPK Signaling;Aryl Hydrocarbon Receptor;Signaling of Hepatocyte Growth Factor Receptor;TGF Beta Signaling Pathway;Oncostatin M Signaling Pathway;ErbB Signaling Pathway;Integrated Pancreatic Cancer Pathway;TSH signaling pathway;Senescence and Autophagy;MAPK Cascade;Signaling Pathways in Glioblastoma"
"1185" "Acquired Immunodeficiency Syndrome" "Type II interferon signaling (IFNG);Toll-like receptor signaling pathway;Allograft Rejection;FAS pathway and Stress induction of HSP regulation;Inflammatory Response Pathway;Spinal Cord Injury;Apoptosis Modulation by HSP70;Regulation of toll-like receptor signaling pathway;Cytokines and Inflammatory Response;Folate Metabolism"
"1186" "Vaginal Neoplasms" ""
"1187" "Flavivirus Infections" "Type II interferon signaling (IFNG);Toll-like receptor signaling pathway;Regulation of toll-like receptor signaling pathway"
"1188" "Dermatitis, Allergic Contact" "Allograft Rejection;Inflammatory Response Pathway;TGF Beta Signaling Pathway;Spinal Cord Injury;Cytokines and Inflammatory Response;Folate Metabolism"
"1189" "Tuberous Sclerosis" "Selenium Micronutrient Network;AMPK Signaling;BDNF signaling pathway;Wnt Signaling Pathway Netpath;Estrogen signaling pathway;TWEAK Signaling Pathway;Interferon type I signaling pathways;Quercetin and Nf-kB/ AP-1 induced cell apoptosis;Structural Pathway of Interleukin 1 (IL-1);TGF Beta Signaling Pathway;IL-4 Signaling Pathway;Leptin signaling pathway;Interleukin-11 Signaling Pathway;Osteopontin Signaling;TSLP Signaling Pathway;RANKL/RANK Signaling Pathway;TOR Signaling;Insulin Signaling;Oncostatin M Signaling Pathway;Spinal Cord Injury;Apoptosis Modulation by HSP70;Vitamin B12 Metabolism;IL-1 signaling pathway;AGE/RAGE pathway;EBV LMP1 signaling;Integrated Pancreatic Cancer Pathway;TSH signaling pathway;Integrated Breast Cancer Pathway;Type II diabetes mellitus;FSH signaling pathway;Folate Metabolism"
"1190" "Mycobacterium Infections, Nontuberculous" "Type II interferon signaling (IFNG)"
